surah_id,verse_number,local_transliteration,ref1_transliteration,ref2_transliteration,char_similarity_ref1,char_similarity_ref2,token_similarity_ref1,token_similarity_ref2,flagged
2,15,Al-lahu yastahzi-u bihim wayamudduhum fī ṭugh'yānihim yaʿmahūn,Allahu yastahzi'u bihim wa yamudduhum fee tughyaanihim ya'mahoon,Allahu yastahzi-o bihim wayamudduhumfee tughyanihim yaAAmahoon,0.9048,0.8871,0.1765,0.1333,N
2,16,Ulāika alladhīna ish'tarawū ḍ-ḍalālata bil-hudā famā rabiḥat tijāratuhum wamā kānū muh'tadīn,Ulaaa'ikal lazeenash tara wud dalaalata bilhudaa famaa rabihat tijaaratuhum wa maa kaanoo muhtadeen,Ola-ika allatheena ishtarawooaddalalata bilhuda famarabihat tijaratuhum wama kanoomuhtadeen,0.8377,0.8634,0.0357,0.0909,N
2,17,Mathaluhum kamathali alladhī is'tawqada nāran falammā aḍāat mā ḥawlahu dhahaba l-lahu binūrihim watarakahum fī ẓulumātil-lā yub'ṣirūn,Masaluhum kamasalillazis tawqada naaran falammaaa adaaa'at maa hawlahoo zahabal laahu binoorihim wa tarakahum fee zulumaatil laa yubsiroon,Mathaluhum kamathali allatheeistawqada naran falamma adaat ma hawlahuthahaba Allahu binoorihim watarakahum fee thulumatinla yubsiroon,0.8487,0.8947,0.027,0.2593,N
2,18,Ṣummun buk'mun ʿum'yun fahum lā yarjiʿūn,Summum bukmun 'umyun fahum laa yarji'oon,Summun bukmun AAumyun fahum layarjiAAoon,0.8608,0.85,0.0714,0.1818,N
2,19,Aw kaṣayyibim-mina s-samāi fīhi ẓulumātuw-waraʿdun wabarquy-yajʿalūna aṣābiʿahum fī ādhānihim mina ṣ-ṣawāʿiqi ḥadhara l-mawti wal-lahu muḥīṭun bil-kāfirīn,"Aw kasaiyibim minas samaaa'i feehi zulumaatunw wa ra'dunw wa barq, yaj'aloona asaabi'ahum feee aazaanihim minas sawaa'iqi hazaral mawt' wallaahu muheetum bilkaafireen",Aw kasayyibin mina assama-ifeehi thulumatun waraAAdun wabarqunyajAAaloona asabiAAahum fee athanihim mina assawaAAiqihathara almawti wallahu muheetunbilkafireen,0.8239,0.8307,0.0222,0.0571,N
2,20,Yakādu l-barqu yakhṭafu abṣārahum kullamā aḍāa lahum mashaw fīhi wa-idhā aẓlama ʿalayhim qāmū walaw shāa l-lahu ladhahaba bisamʿihim wa-abṣārihim inna l-laha ʿalā kulli shayin qadīrun,Yakaadul barqu yakhtafu absaarahum kullamaaa adaaa'a lahum mashaw feehi wa izaaa azlama 'alaihim qaamoo; wa law shaaa'al laahu lazahaba bisam'ihim wa absaarihim; innal laaha 'alaa kulli shai'in Qadeer,Yakadu albarqu yakhtafu absarahumkullama adaa lahum mashaw feehi wa-itha athlamaAAalayhim qamoo walaw shaa Allahu lathahababisamAAihim waabsarihim inna Allaha AAalakulli shay-in qadeer,0.8813,0.8937,0.14,0.2195,N
2,21,Yāayyuhā n-nāsu uʿ'budū rabbakumu alladhī khalaqakum wa-alladhīna min qablikum laʿallakum tattaqūn,Yaaa aiyuhan naasu'budoo Rabbakumul lazee khalaqakum wallazeena min qablikum la'allakum tattaqoon,Ya ayyuha annasuoAAbudoo rabbakumu allathee khalaqakum wallatheenamin qablikum laAAallakum tattaqoon,0.8205,0.8384,0.125,0.1429,N
2,22,Alladhī jaʿala lakumu l-arḍa firāshaw-wal-samāa bināaw-wa-anzala mina s-samāi māan fa-akhraja bihi mina th-thamarāti riz'qal-lakum falā tajʿalū lillahi andādaw-wa-antum taʿlamūn,Allazee ja'ala lakumul arda firaashanw wassamaaa'a binaaa 'anw wa anzala minassamaaa'i maaa'an fa akhraja bihee minas samaraati rizqal lakum falaa taj'aloo lillaahi andaadanw wa antum ta'lamoon,Allathee jaAAala lakumu al-ardafirashan wassamaa binaan waanzalamina assama-i maan faakhraja bihi mina aththamaratirizqan lakum fala tajAAaloo lillahi andadanwaantum taAAlamoon,0.8509,0.8725,0.1321,0.1628,N
2,23,Wa-in kuntum fī raybim-mimmā nazzalnā ʿalā ʿabdinā fatū bisūratim-min mith'lihi wa-id'ʿū shuhadāakum min dūni l-lahi in kuntum ṣādiqīn,Wa in kuntum fee raibim mimmaa nazzalnaa 'alaa 'abdinaa fatoo bi Sooratim mim mislihee wad'oo shuhadaaa'akum min doonil laahi in kuntum saadiqeen,Wa-in kuntum fee raybin mimma nazzalnaAAala AAabdina fa/too bisooratin min mithlihi wadAAooshuhadaakum min dooni Allahi in kuntum sadiqeen,0.8375,0.8529,0.1026,0.1515,N
2,24,Fa-il-lam tafʿalū walan tafʿalū fa-ittaqū n-nāra allatī waqūduhā n-nāsu wal-ḥijāratu uʿiddat lil'kāfirīn,Fail lam taf'aloo wa lan taf'aloo fattaqun Naaral latee waqooduhan naasu walhijaaratu u'iddat lilkaafireen,Fa-in lam tafAAaloo walan tafAAaloo fattaqooannara allatee waqooduha annasuwalhijaratu oAAiddat lilkafireen,0.8286,0.8057,0.0333,0.125,N
2,25,Wabashiri alladhīna āmanū waʿamilū ṣ-ṣāliḥāti anna lahum jannātin tajrī min taḥtihā l-anhāru kullamā ruziqū min'hā min thamaratir-riz'qan qālū hādhā alladhī ruziq'nā min qablu wa-utū bihi mutashābihaw-walahum fīhā azwājum-muṭahharatun wahum fīhā khālidūn,"Wa bashshiril lazeena aamanoo wa 'amilus saalihaati anna lahum jannaatin tajree min tahtihal anhaaru kullamaa riziqoo minhaa min samaratir rizqan qaaloo haazal lazee ruziqnaa min qablu wa utoo bihee mutashaabihaa, wa lahum feehaaa azwaajum mutahhara tunw wa hum feehaa khaalidoon",Wabashshiri allatheena amanoowaAAamiloo assalihati anna lahum jannatintajree min tahtiha al-anharu kullamaruziqoo minha min thamaratin rizqan qaloo hathaallathee ruziqna min qablu waotoo bihi mutashabihanwalahum feeha azwajun mutahharatun wahumfeeha khalidoon,0.0113,0.0273,0.0781,0.1455,Y
2,26,Inna l-laha lā yastaḥyī ay-yaḍriba mathalam-mā baʿūḍatan famā fawqahā fa-ammā alladhīna āmanū fayaʿlamūna annahu l-ḥaqu mir-rabbihim wa-ammā alladhīna kafarū fayaqūlūna mādhā arāda l-lahu bihādhā mathalay-yuḍillu bihi kathīraw-wayahdī bihi kathīraw-wamā yuḍillu bihi illā l-fāsiqīn,Innal laaha laa yastahyeee ai yadriba masalam maa ba'oodatan famaa fawqahaa; faammal lazeena aamanoo faya'lamoona annahul haqqu mir rabbihim wa ammal lazeena kafaroo fayaqooloona maazaaa araadal laahu bihaazaa masalaa; yudillu bihee kaseeranw wa yahdee bihee kaseeraa; wa maa yudillu biheee illal faasiqeen,Inna Allaha la yastahyeean yadriba mathalan ma baAAoodatan famafawqaha faamma allatheena amanoofayaAAlamoona annahu alhaqqu min rabbihim waammaallatheena kafaroo fayaqooloona matha aradaAllahu bihatha mathalan yudillu bihikatheeran wayahdee bihi katheeran wama yudillu bihiilla alfasiqeen,0.0993,0.1652,0.0725,0.1579,Y
2,27,Alladhīna yanquḍūna ʿahda l-lahi min baʿdi mīthāqihi wayaqṭaʿūna mā amara l-lahu bihi ay-yūṣala wayuf'sidūna fī l-arḍi ulāika humu l-khāsirūn,Allazeena yanqudoona 'ahdal laahi mim ba'di meesaaqihee wa yaqt'oona maaa amaral laahu biheee ai yoosala wa yufsidoona fil ard; ulaaa'ika hum khaasirron,Allatheena yanqudoona AAahdaAllahi min baAAdi meethaqihi wayaqtaAAoona maamara Allahu bihi an yoosala wayufsidoona fee al-ardiola-ika humu alkhasiroon,0.7766,0.8247,0.0,0.0789,N
2,28,Kayfa takfurūna bil-lahi wakuntum amwātan fa-aḥyākum thumma yumītukum thumma yuḥ'yīkum thumma ilayhi tur'jaʿūn,Kaifa takfuroona billaahi wa kuntum amwaatan fa ahyaakum summa yumeetukum summa yuhyeekum summaa ilaihi turja'oon,Kayfa takfuroona billahiwakuntum amwatan faahyakum thumma yumeetukumthumma yuhyeekum thumma ilayhi turjaAAoon,0.843,0.9041,0.0345,0.1905,N
2,29,Huwa alladhī khalaqa lakum mā fī l-arḍi jamīʿan thumma is'tawā ilā s-samāi fasawwāhunna sabʿa samāwātiw-wahuwa bikulli shayin ʿalīmun,Huwal lazee khalaqa lakum maa fil ardi jamee'an summas tawaaa ilas samaaa'i fasaw waahunna sab'a samaa waat; wa Huwa bikulli shai'in Aleem,Huwa allathee khalaqa lakum mafee al-ardi jameeAAan thumma istawa ila assama-ifasawwahunna sabAAa samawatin wahuwa bikullishay-in AAaleem,0.8148,0.8593,0.1163,0.2059,N
2,30,Wa-idh qāla rabbuka lil'malāikati innī jāʿilun fī l-arḍi khalīfatan qālū atajʿalu fīhā may-yuf'sidu fīhā wayasfiku d-dimāa wanaḥnu nusabbiḥu biḥamdika wanuqaddisu laka qāla innī aʿlamu mā lā taʿlamūn,Wa iz qaala rabbuka lil malaaa'ikati innee jaa'ilun fil ardi khaleefatan qaalooo ataj'alu feehaa mai yufsidu feehaa wa yasfikud dimaaa'a wa nahnu nusabbihu bihamdika wa nuqaddisu laka qaala inneee a'lamu maa laa ta'lamoon,Wa-ith qala rabbuka lilmala-ikatiinnee jaAAilun fee al-ardi khaleefatan qalooatajAAalu feeha man yufsidu feeha wayasfiku addimaawanahnu nusabbihu bihamdika wanuqaddisu lakaqala innee aAAlamu ma la taAAlamoon,0.219,0.2069,0.125,0.2174,Y
2,31,Waʿallama ādama l-asmāa kullahā thumma ʿaraḍahum ʿalā l-malāikati faqāla anbiūnī bi-asmāi hāulāi in kuntum ṣādiqīn,Wa 'allama Aadamal asmaaa'a kullahaa summa 'aradahum 'alal malaaa'ikati faqaala ambi'oonee bias maaa'i haaa'ulaaa'i in kuntum saadiqeen,WaAAallama adama al-asmaakullaha thumma AAaradahum AAala almala-ikatifaqala anbi-oonee bi-asma-i haola-iin kuntum sadiqeen,0.8293,0.8729,0.0541,0.129,N
2,32,Qālū sub'ḥānaka lā ʿil'ma lanā illā mā ʿallamtanā innaka anta l-ʿalīmu l-ḥakīm,Qaaloo subhaanaka laa 'ilma lanaaa illaa maa 'allamtanaaa innaka antal'aleemul hakeem,Qaloo subhanaka laAAilma lana illa ma AAallamtanainnaka anta alAAaleemu alhakeem,0.8447,0.8228,0.04,0.2,N
2,33,Qāla yāādamu anbi'hum bi-asmāihim falammā anba-ahum bi-asmāihim qāla alam aqul lakum innī aʿlamu ghayba s-samāwāti wal-arḍi wa-aʿlamu mā tub'dūna wamā kuntum taktumūn,Qaala yaaa Aadamu ambi' hum biasmaaa'ihimfalammaaa amba ahum bi asmaaa'ihim qaala alam aqul lakum inneee a'lamu ghaibas samaawaati wal ardi wa a'lamu maa tubdoona wa maa kuntum taktumoon,Qala ya adamu anbi/humbi-asma-ihim falamma anbaahum bi-asma-ihim qalaalam aqul lakum innee aAAlamu ghayba assamawatiwal-ardi waaAAlamu ma tubdoona wamakuntum taktumoon,0.8775,0.9189,0.2326,0.225,N
2,34,Wa-idh qul'nā lil'malāikati us'judū liādama fasajadū illā ib'līsa abā wa-is'takbara wakāna mina l-kāfirīn,Wa iz qulnaa lilmalaaa'i katis judoo liAadama fasajadooo illaaa Ibleesa abaa wastakbara wa kaana minal kaafireen,Wa-ith qulna lilmala-ikatiosjudoo li-adama fasajadoo illa ibleesa abawastakbara wakana mina alkafireen,0.8295,0.8599,0.0286,0.1333,N
2,35,Waqul'nā yāādamu us'kun anta wazawjuka l-janata wakulā min'hā raghadan ḥaythu shi'tumā walā taqrabā hādhihi sh-shajarata fatakūnā mina ẓ-ẓālimīn,Wa qulnaa yaaa Aadamus kun anta wa zawjukal jannata wa kulaa minhaa raghadan haisu shi'tumaa wa laa taqabaa haazihish shajarata fatakoonaa minaz zaalimeen,Waqulna ya adamu oskunanta wazawjuka aljannata wakula minha raghadan haythushi/tuma wala taqraba hathihi ashshajaratafatakoona mina aththalimeen,0.8658,0.8958,0.122,0.2,N
2,36,Fa-azallahumā sh-shayṭānu ʿanhā fa-akhrajahumā mimmā kānā fīhi waqul'nā ih'biṭū baʿḍukum libaʿḍin ʿaduwwuw-walakum fī l-arḍi mus'taqarruw-wamatāʿun ilā ḥīnin,Fa azallahumash Shaitaanu 'anhaa fa akhrajahumaa mimmaa kaanaa fee wa qulnah bitoo ba'dukum liba'din 'aduwwunw wa lakum fil ardi mustaqarrunw wa mataa'un ilaa heen,Faazallahuma ashshaytanuAAanha faakhrajahuma mimma kanafeehi waqulna ihbitoo baAAdukum libaAAdinAAaduwwun walakum fee al-ardi mustaqarrun wamataAAunila heen,0.8679,0.8562,0.0426,0.0789,N
2,37,Fatalaqqā ādamu mir-rabbihi kalimātin fatāba ʿalayhi innahu huwa t-tawābu r-raḥīm,Fatalaqqaaa Aadamu mir Rabbihee Kalimaatin fataaba 'alayh; innahoo Huwat Tawwaabur Raheem,Fatalaqqa adamu min rabbihikalimatin fataba AAalayhi innahu huwa attawwabuarraheem,0.881,0.908,0.0435,0.2941,N
2,38,Qul'nā ih'biṭū min'hā jamīʿan fa-immā yatiyannakum minnī hudan faman tabiʿa hudāya falā khawfun ʿalayhim walā hum yaḥzanūn,Qulnah bitoo minhaa jamee 'an fa immaa yaatiyannakum minnee hudan faman tabi'a hudaaya falaa khawfun 'alaihim wa laa hum yahza noon,Qulna ihbitoo minhajameeAAan fa-imma ya/tiyannakum minnee hudan faman tabiAAahudaya fala khawfun AAalayhim wala hum yahzanoon,0.8765,0.8907,0.1316,0.2667,N
2,39,Wa-alladhīna kafarū wakadhabū biāyātinā ulāika aṣḥābu n-nāri hum fīhā khālidūn,Wallazeena kafaroo wa kaz zabooo bi aayaatinaa ulaaa'ika Ashaabun Naari hum feehaa khaalidoon,Wallatheena kafaroo wakaththaboobi-ayatina ola-ika as-habuannari hum feeha khalidoon,0.7719,0.8025,0.0833,0.0455,N
2,40,Yābanī is'rāīla udh'kurū niʿ'matiya allatī anʿamtu ʿalaykum wa-awfū biʿahdī ūfi biʿahdikum wa-iyyāya fa-ir'habūn,Yaa Baneee Israaa'eelaz kuroo ni'matiyal lateee an'amtu 'alaikum wa awfoo bi'Ahdeee oofi bi ahdikum wa iyyaaya farhaboon,Ya banee isra-eela othkurooniAAmatiya allatee anAAamtu AAalaykum waawfoo biAAahdee oofibiAAahdikum wa-iyyaya farhaboon,0.7619,0.7652,0.027,0.0645,N
2,41,Waāminū bimā anzaltu muṣaddiqal-limā maʿakum walā takūnū awwala kāfirin bihi walā tashtarū biāyātī thamanan qalīlaw-wa-iyyāya fa-ittaqūn,Wa aaminoo bimaaa anzaltu musaddiqal limaa ma'akum wa laa takoonooo awwala kaafirim bihee wa laa tashtaroo bi Aayaatee samanan qaleelanw wa iyyaaya fattaqoon,Waaminoo bima anzaltu musaddiqanlima maAAakum wala takoonoo awwala kafirinbihi wala tashtaroo bi-ayatee thamananqaleelan wa-iyyaya fattaqoon,0.8328,0.8768,0.1143,0.2069,N
2,42,Walā talbisū l-ḥaqa bil-bāṭili wataktumū l-ḥaqa wa-antum taʿlamūn,Wa laa talbisul haqqa bilbaatili wa taktumul haqqa wa antum ta'lamoon,Wala talbisoo alhaqqa bilbatiliwataktumoo alhaqqa waantum taAAlamoon,0.8955,0.8421,0.1176,0.0667,N
2,43,Wa-aqīmū ṣ-ṣalata waātū z-zakata wa-ir'kaʿū maʿa r-rākiʿīn,Wa aqeemus salaata wa aatuz zakaata warka'oo ma'ar raaki'een,Waaqeemoo assalata waatooazzakata warkaAAoo maAAa arrakiAAeen,0.5763,0.6723,0.0455,0.0,N
2,44,Atamurūna n-nāsa bil-biri watansawna anfusakum wa-antum tatlūna l-kitāba afalā taʿqilūn,Ataamuroonan naasa bilbirri wa tansawna anfusakum wa antum tatloonal Kitaab; afalaa ta'qiloon,Ata/muroona annasa bilbirriwatansawna anfusakum waantum tatloona alkitaba afalataAAqiloon,0.8827,0.875,0.1304,0.0455,N
2,45,Wa-is'taʿīnū bil-ṣabri wal-ṣalati wa-innahā lakabīratun illā ʿalā l-khāshiʿīn,Wasta'eenoo bissabri was Salaah; wa innahaa lakabee ratun illaa alal khaashi'een,WastaAAeenoo bissabriwassalati wa-innaha lakabeeratunilla AAala alkhashiAAeen,0.7821,0.7792,0.04,0.1111,N
2,46,Alladhīna yaẓunnūna annahum mulāqū rabbihim wa-annahum ilayhi rājiʿūn,Allazeena yazunnoona annahum mulaaqoo Rabbihim wa annahum ilaihi raaji'oon,Allatheena yathunnoonaannahum mulaqoo rabbihim waannahum ilayhi rajiAAoon,0.8531,0.8451,0.2143,0.1538,N
2,47,Yābanī is'rāīla udh'kurū niʿ'matiya allatī anʿamtu ʿalaykum wa-annī faḍḍaltukum ʿalā l-ʿālamīn,Yaa Baneee Israaa'eelaz kuroo ni'matiyal lateee an'amtu 'alaikum wa annee faddaltukum 'alal 'aalameen,Ya banee isra-eela othkurooniAAmatiya allatee anAAamtu AAalaykum waannee faddaltukumAAala alAAalameen,0.7708,0.759,0.0667,0.0,N
2,48,Wa-ittaqū yawmal-lā tajzī nafsun ʿan-nafsin shayaw-walā yuq'balu min'hā shafāʿatuw-walā yu'khadhu min'hā ʿadluw-walā hum yunṣarūn,Wattaqoo Yawmal laa tajzee nafsun 'an nafsin shai'anw wa laa yuqbalu minhaa shafaa'atunw wa laa yu'khazu minhaa 'adlunw wa laa hum yunsaroon,Wattaqoo yawman la tajzeenafsun AAan nafsin shay-an wala yuqbalu minha shafaAAatunwala yu/khathu minha AAadlun wala humyunsaroon,0.8614,0.856,0.1818,0.125,N
2,49,Wa-idh najjaynākum min āli fir'ʿawna yasūmūnakum sūa l-ʿadhābi yudhabbiḥūna abnāakum wayastaḥyūna nisāakum wafī dhālikum balāom-min rabbikum ʿaẓīmun,Wa iz najjainaakum min Aali Fir'awna yasoomoonakum sooo'al azaabi yuzabbihoona abuaaa'akum wa yastahyoona nisaaa'akum; wa fee zaalikum balaaa'um mir Rabbikum 'azeem,Wa-ith najjaynakum min alifirAAawna yasoomoonakum soo-a alAAathabi yuthabbihoonaabnaakum wayastahyoona nisaakum wafee thalikumbalaon min rabbikum AAatheem,0.7935,0.8278,0.1026,0.1613,N
2,50,Wa-idh faraqnā bikumu l-baḥra fa-anjaynākum wa-aghraqnā āla fir'ʿawna wa-antum tanẓurūn,Wa iz faraqnaa bikumul bahra fa anjainaakum wa agh-raqnaaa Aala Fir'awna wa antum tanzuroon,Wa-ith faraqna bikumu albahrafaanjaynakum waaghraqna ala firAAawnawaantum tanthuroon,0.9101,0.8889,0.2174,0.2105,N
2,51,Wa-idh wāʿadnā mūsā arbaʿīna laylatan thumma ittakhadhtumu l-ʿij'la min baʿdihi wa-antum ẓālimūn,Wa iz waa'adnaa Moosaaa arba'eena lailatan summattakhaztumul 'ijla mim ba'dihee wa antum zaalimoon,Wa-ith waAAadna moosaarbaAAeena laylatan thumma ittakhathtumu alAAijla minbaAAdihi waantum thalimoon,0.7876,0.8265,0.0714,0.1304,N
2,52,Thumma ʿafawnā ʿankum min baʿdi dhālika laʿallakum tashkurūn,Summa 'afawnaa 'ankum mim ba'di zaalika la'allakum tashkuroon,Thumma AAafawna AAankum min baAAdi thalikalaAAallakum tashkuroon,0.8403,0.8548,0.0,0.1538,N
2,53,Wa-idh ātaynā mūsā l-kitāba wal-fur'qāna laʿallakum tahtadūn,Wa iz aatainaa Moosal kitaaba wal Furqaana la'allakum tahtadoon,Wa-ith atayna moosaalkitaba walfurqana laAAallakum tahtadoon,0.8455,0.8667,0.1053,0.125,N
2,54,Wa-idh qāla mūsā liqawmihi yāqawmi innakum ẓalamtum anfusakum bi-ittikhādhikumu l-ʿij'la fatūbū ilā bāri-ikum fa-uq'tulū anfusakum dhālikum khayrul-lakum ʿinda bāri-ikum fatāba ʿalaykum innahu huwa t-tawābu r-raḥīm,Wa iz qaala Moosaa liqawmihee yaa qawmi innakum zalamtum anfusakum bittikhaa zikumul 'ijla fatoobooo ilaa Baari'ikum faqtulooo anfusakum zaalikum khairul lakum 'inda Baari'ikum fataaba 'alaikum; innahoo Huwat Tawwaabur Raheem,Wa-ith qala moosaliqawmihi ya qawmi innakum thalamtumanfusakum bittikhathikumu alAAijla fatooboo ilabari-ikum faqtuloo anfusakum thalikumkhayrun lakum AAinda bari-ikum fataba AAalaykuminnahu huwa attawwabu arraheem,0.023,0.028,0.1091,0.1875,Y
2,55,Wa-idh qul'tum yāmūsā lan-nu'mina laka ḥattā narā l-laha jahratan fa-akhadhatkumu ṣ-ṣāʿiqatu wa-antum tanẓurūn,Wa iz qultum yaa Moosaa lan nu'mina laka hattaa naral laaha jahratan fa akhazat kumus saa'iqatu wa antum tanzuroon,Wa-ith qultum ya moosalan nu/mina laka hatta nara Allahajahratan faakhathatkumu assaAAiqatu waantumtanthuroon,0.8929,0.8767,0.25,0.2143,N
2,56,Thumma baʿathnākum min baʿdi mawtikum laʿallakum tashkurūn,Summa ba'asnaakum mim ba'di mawtikum la'allakum tashkuroon,Thumma baAAathnakum min baAAdimawtikum laAAallakum tashkuroon,0.8448,0.8908,0.0667,0.1818,N
